seed,method,checkpoint_epoch,violations,wall_s,converged,compile_s,total_elapsed_s
98540,analytical_IBP,5000,119920,108.429,,,
98540,analytical_IBP,6000,106264,155.059,,,
98540,analytical_IBP,7000,68112,183.046,,,
98540,analytical_IBP,8000,47424,207.329,,,
98540,analytical_IBP,9000,19617,227.457,,,
98540,analytical_IBP,10000,4421,245.376,,,
98540,analytical_IBP,11000,2245,261.847,,,
98540,analytical_IBP,12000,4691,277.118,,,
98540,analytical_IBP,13000,6299,293.282,,,
98540,analytical_IBP,14000,4114,308.731,,,
98540,analytical_IBP,15000,2999,323.812,,,
98540,analytical_IBP,16000,5018,339.736,,,
98540,analytical_IBP,18000,3826,367.566,,,
98540,analytical_IBP,20000,5003,395.455,,,
98540,analytical_IBP,20000,,,False,0.322,396.7
98540,DJ_IBP,5000,25670,69.923,,,
98540,DJ_IBP,6000,17920,84.631,,,
98540,DJ_IBP,7000,16656,99.632,,,
98540,DJ_IBP,8000,10258,114.208,,,
98540,DJ_IBP,9000,6051,128.171,,,
98540,DJ_IBP,10000,2615,142.156,,,
98540,DJ_IBP,11000,1602,155.890,,,
98540,DJ_IBP,12000,236,169.776,,,
98540,DJ_IBP,13000,766,183.681,,,
98540,DJ_IBP,14000,1983,197.379,,,
98540,DJ_IBP,15000,496,211.168,,,
98540,DJ_IBP,16000,79,225.548,,,
98540,DJ_IBP,18000,356,251.983,,,
98540,DJ_IBP,20000,923,277.967,,,
98540,DJ_IBP,20000,,,False,2.734,278.1
98540,hardcoded_IBP,5000,63146,65.112,,,
98540,hardcoded_IBP,6000,47778,80.818,,,
98540,hardcoded_IBP,7000,26636,95.685,,,
98540,hardcoded_IBP,8000,19813,110.278,,,
98540,hardcoded_IBP,9000,4020,123.570,,,
98540,hardcoded_IBP,10000,284,136.565,,,
98540,hardcoded_IBP,11000,0,149.151,,,
98540,hardcoded_IBP,10999,,,True,0.000,149.2
98540,DJ_CROWN-IBP,5000,403,77.840,,,
98540,DJ_CROWN-IBP,6000,361,110.877,,,
98540,DJ_CROWN-IBP,7000,287,127.327,,,
98540,DJ_CROWN-IBP,8000,4,143.740,,,
98540,DJ_CROWN-IBP,9000,638,159.777,,,
98540,DJ_CROWN-IBP,10000,0,175.654,,,
98540,DJ_CROWN-IBP,9999,,,True,2.553,175.7
98540,analytical_CROWN-IBP,5000,34708,119.447,,,
98540,analytical_CROWN-IBP,6000,11873,194.992,,,
98540,analytical_CROWN-IBP,7000,5476,229.800,,,
98540,analytical_CROWN-IBP,8000,108,252.679,,,
98540,analytical_CROWN-IBP,9000,441,270.520,,,
98540,analytical_CROWN-IBP,10000,0,286.704,,,
98540,analytical_CROWN-IBP,9999,,,True,0.423,286.7
77709,analytical_IBP,2000,208479,110.559,,,
77709,analytical_IBP,3000,169676,198.833,,,
77709,analytical_IBP,4000,144616,261.702,,,
77709,analytical_IBP,5000,118851,293.599,,,
77709,analytical_IBP,6000,50826,320.095,,,
77709,analytical_IBP,7000,23187,342.022,,,
77709,analytical_IBP,8000,19258,361.668,,,
77709,analytical_IBP,9000,6718,379.272,,,
77709,analytical_IBP,10000,9511,396.406,,,
77709,analytical_IBP,11000,4614,412.321,,,
77709,analytical_IBP,12000,3904,427.851,,,
77709,analytical_IBP,13000,4213,443.701,,,
77709,analytical_IBP,14000,6201,459.565,,,
77709,analytical_IBP,16000,4014,487.422,,,
77709,analytical_IBP,17000,2492,502.642,,,
77709,analytical_IBP,18000,6637,518.259,,,
77709,analytical_IBP,19000,4657,533.933,,,
77709,analytical_IBP,20000,5248,549.473,,,
77709,analytical_IBP,20000,,,False,0.528,549.5
77709,DJ_IBP,2000,54855,32.324,,,
77709,DJ_IBP,3000,39965,47.956,,,
77709,DJ_IBP,4000,24499,63.025,,,
77709,DJ_IBP,5000,18495,77.669,,,
77709,DJ_IBP,6000,11537,91.936,,,
77709,DJ_IBP,7000,5336,105.279,,,
77709,DJ_IBP,8000,5371,118.878,,,
77709,DJ_IBP,9000,4197,133.662,,,
77709,DJ_IBP,10000,3841,147.606,,,
77709,DJ_IBP,11000,951,161.343,,,
77709,DJ_IBP,12000,37,175.454,,,
77709,DJ_IBP,13000,0,189.714,,,
77709,DJ_IBP,12999,,,True,2.515,189.7
77709,hardcoded_IBP,2000,118620,31.500,,,
77709,hardcoded_IBP,3000,98754,49.017,,,
77709,hardcoded_IBP,4000,77922,66.336,,,
77709,hardcoded_IBP,5000,44307,82.926,,,
77709,hardcoded_IBP,6000,11966,98.122,,,
77709,hardcoded_IBP,7000,2165,112.599,,,
77709,hardcoded_IBP,8000,1172,126.381,,,
77709,hardcoded_IBP,9000,9,139.642,,,
77709,hardcoded_IBP,10000,0,153.088,,,
77709,hardcoded_IBP,9999,,,True,0.000,153.1
77709,DJ_CROWN-IBP,2000,8481,35.479,,,
77709,DJ_CROWN-IBP,3000,3034,53.635,,,
77709,DJ_CROWN-IBP,4000,2381,70.230,,,
77709,DJ_CROWN-IBP,5000,922,86.979,,,
77709,DJ_CROWN-IBP,6000,208,102.763,,,
77709,DJ_CROWN-IBP,7000,0,118.311,,,
77709,DJ_CROWN-IBP,6999,,,True,2.910,118.3
77709,analytical_CROWN-IBP,2000,88440,89.371,,,
77709,analytical_CROWN-IBP,3000,67978,218.968,,,
77709,analytical_CROWN-IBP,4000,43560,330.002,,,
77709,analytical_CROWN-IBP,5000,13738,428.156,,,
77709,analytical_CROWN-IBP,6000,894,467.427,,,
77709,analytical_CROWN-IBP,7000,139,488.540,,,
77709,analytical_CROWN-IBP,8000,108,507.797,,,
77709,analytical_CROWN-IBP,9000,0,526.311,,,
77709,analytical_CROWN-IBP,8999,,,True,0.286,527.9
5193,analytical_IBP,3000,215833,152.862,,,
5193,analytical_IBP,13000,77193,356.335,,,
5193,analytical_IBP,15000,63995,414.322,,,
5193,analytical_IBP,16000,46969,439.360,,,
5193,analytical_IBP,19000,18666,497.563,,,
5193,analytical_IBP,20000,25922,533.087,,,
5193,analytical_IBP,20000,,,False,0.489,533.1
5193,DJ_IBP,3000,96757,58.931,,,
5193,DJ_IBP,13000,16963,208.989,,,
5193,DJ_IBP,15000,6633,236.822,,,
5193,DJ_IBP,16000,6863,251.849,,,
5193,DJ_IBP,19000,4585,294.200,,,
5193,DJ_IBP,20000,4528,308.640,,,
5193,DJ_IBP,20000,,,False,2.890,308.6
5193,hardcoded_IBP,3000,163752,53.343,,,
5193,hardcoded_IBP,13000,43108,186.426,,,
5193,hardcoded_IBP,15000,21763,212.960,,,
5193,hardcoded_IBP,16000,8035,227.664,,,
5193,hardcoded_IBP,19000,2869,269.297,,,
