seed,method,checkpoint_epoch,violations,converged,elapsed_s
98540,analytical_IBP,6000,49855,,
98540,analytical_IBP,20000,,False,159.6
98540,DJ_IBP,6000,11300,,
98540,DJ_IBP,20000,,False,163.9
98540,DJ_CROWN-IBP,6000,706,,
98540,DJ_CROWN-IBP,20000,,False,167.3
98540,analytical_CROWN-IBP,6000,0,,
98540,analytical_CROWN-IBP,5999,,True,50.1
77709,analytical_IBP,20000,,False,149.6
77709,DJ_IBP,20000,,False,169.3
77709,DJ_CROWN-IBP,20000,,False,166.6
77709,analytical_CROWN-IBP,20000,,False,160.9
5193,analytical_IBP,10000,43280,,
5193,analytical_IBP,20000,,False,165.5
5193,DJ_IBP,10000,4478,,
5193,DJ_IBP,20000,,False,175.3
5193,DJ_CROWN-IBP,10000,40,,
5193,DJ_CROWN-IBP,20000,,False,175.2
5193,analytical_CROWN-IBP,10000,0,,
5193,analytical_CROWN-IBP,9999,,True,82.2
98048,analytical_IBP,3000,56944,,
98048,analytical_IBP,9000,45911,,
98048,analytical_IBP,11000,49089,,
98048,analytical_IBP,20000,,False,174.3
98048,DJ_IBP,3000,23593,,
98048,DJ_IBP,9000,9088,,
98048,DJ_IBP,11000,8594,,
98048,DJ_IBP,20000,,False,169.3
98048,DJ_CROWN-IBP,3000,136,,
98048,DJ_CROWN-IBP,9000,946,,
98048,DJ_CROWN-IBP,11000,514,,
98048,DJ_CROWN-IBP,20000,,False,171.8
98048,analytical_CROWN-IBP,3000,0,,
98048,analytical_CROWN-IBP,2999,,True,26.5
50058,analytical_IBP,20000,,False,168.8
50058,DJ_IBP,20000,,False,200.2
50058,DJ_CROWN-IBP,20000,,False,223.4
50058,analytical_CROWN-IBP,20000,,False,181.8
98540,hardcoded_IBP,6000,10511,,
98540,hardcoded_IBP,20000,,False,157.9
77709,hardcoded_IBP,20000,,False,157.0
5193,hardcoded_IBP,10000,516,,
5193,hardcoded_IBP,20000,,False,152.6
98048,hardcoded_IBP,3000,0,,
98048,hardcoded_IBP,2999,,True,22.8
50058,hardcoded_IBP,20000,,False,152.9
